testcase_id,usecase_id,requirement_ids,test_type,test_category,name,description,preconditions,test_steps,expected_result,test_data,priority,automated,estimated_duration,notes
TC001,UC001,REQ-GRAPH-001|REQ-GRAPH-002,Functional,Core,Create Node with Single Label,"Verify creation of a single node with one label","Database running, Connection established","1. Execute: CREATE (n:Person {name: 'Alice', age: 30}) RETURN n; 2. Verify response contains node ID; 3. Query to verify node exists","Node created successfully, Node ID returned, Node queryable with properties",Test user data,Critical,Yes,5 min,Part of smoke test suite
TC002,UC001,REQ-GRAPH-006,Functional,Core,Create Node with Multiple Labels,"Verify node can have multiple labels","Database running, Connection established","1. Execute: CREATE (n:Person:Employee {name: 'Bob', empId: 'E123'}); 2. Query: MATCH (n:Person:Employee) WHERE n.name = 'Bob' RETURN n; 3. Verify both labels present","Node has both Person and Employee labels, Query matches node, Properties correct",Test employee data,Critical,Yes,5 min,
TC003,UC001,REQ-GRAPH-003|REQ-GRAPH-007,Functional,Core,Create Directed Edge,"Verify creation of directed edge between nodes","Two nodes exist in database","1. Execute: MATCH (a:Person {name: 'Alice'}), (b:Person {name: 'Bob'}) CREATE (a)-[r:FRIENDS_WITH {since: 2020}]->(b) RETURN r; 2. Verify edge created; 3. Verify direction is correct","Directed edge created from Alice to Bob, Edge type FRIENDS_WITH, Property 'since' = 2020",Test friendship data,Critical,Yes,10 min,
TC004,UC001,REQ-GRAPH-008,Functional,Core,Create Multiple Edges Between Same Nodes,"Verify multiple edges can exist between the same pair of nodes","Two nodes exist in database","1. Create first edge: MATCH (a), (b) CREATE (a)-[:KNOWS {context: 'work'}]->(b); 2. Create second edge: MATCH (a), (b) CREATE (a)-[:KNOWS {context: 'school'}]->(b); 3. Query both edges","Two KNOWS edges exist between same nodes with different properties",Test multi-relationship data,High,Yes,10 min,
TC005,UC001,REQ-GRAPH-004|REQ-GRAPH-005,Functional,Core,Create Node with All Property Types,"Verify all property data types are supported","Database running","1. Create node with all types: CREATE (n:Test {str: 'text', int: 42, float: 3.14, bool: true, date: datetime('2025-01-15T10:30:00'), arr: [1,2,3], map: {key: 'value'}}); 2. Query node; 3. Verify all properties","All property types stored correctly, Properties retrievable with correct types",Comprehensive property test data,Critical,Yes,15 min,Validate type coercion
TC006,UC002,REQ-TENANT-001|REQ-TENANT-002,Functional,Multi-Tenancy,Create Isolated Tenant,"Verify tenant creation provides logical isolation","Cluster running, Admin credentials available","1. Call API: POST /api/tenants {name: 'tenant_A'}; 2. Verify tenant created; 3. Create data in tenant_A; 4. Attempt to access from tenant_B; 5. Verify access denied","Tenant created successfully, Data isolated, Cross-tenant access denied",Multi-tenant test data,Critical,Yes,20 min,Core multi-tenancy validation
TC007,UC002,REQ-TENANT-003,Functional,Multi-Tenancy,Enforce Memory Quota,"Verify tenant cannot exceed configured memory quota","Tenant created with 1GB memory quota, Load generator ready","1. Create tenant with 1GB quota; 2. Start loading data; 3. Monitor memory usage; 4. Continue loading past 1GB; 5. Verify writes rejected or eviction triggered","Memory usage does not exceed 1GB, Appropriate error message when quota reached, Quota enforcement immediate",Large dataset for quota testing,Critical,Yes,30 min,Monitor for memory leaks
TC008,UC002,REQ-TENANT-004,Security,Multi-Tenancy,Tenant Authentication,"Verify tenant-level authentication works correctly","Multiple tenants exist, User credentials created per tenant","1. Authenticate as tenant_A user; 2. Execute query in tenant_A context; 3. Attempt to authenticate as tenant_B with tenant_A credentials; 4. Verify authentication fails","Tenant_A user can authenticate to tenant_A, Tenant_A credentials rejected for tenant_B, No credential leakage",Multiple tenant credentials,Critical,Yes,15 min,Security critical test
TC009,UC003,REQ-PERF-001|REQ-CYPHER-006,Performance,Query,Simple Pattern Match Latency,"Verify 1-2 hop pattern match executes in < 10ms p99","1M node graph loaded, Indices created on labels","1. Execute 1000 queries: MATCH (a:Person)-[:KNOWS]->(b) WHERE a.id = random() RETURN b; 2. Measure p50, p95, p99 latencies; 3. Verify p99 < 10ms","p99 latency < 10ms, p95 latency < 5ms, p50 latency < 2ms, No timeouts",1M node social graph,Critical,Yes,10 min,Run on production-like hardware
TC010,UC003,REQ-PERF-005|REQ-PERF-007,Performance,Scale,Multi-Hop Traversal on Billion-Node Graph,"Verify 3-hop traversal on 1B node graph executes in < 100ms","1B node graph loaded, Cluster scaled appropriately, Indices optimized","1. Execute query: MATCH (a:Person)-[:KNOWS*1..3]->(b:Person) WHERE a.id = X RETURN b; 2. Measure execution time; 3. Verify result accuracy; 4. Check memory usage","Execution time < 100ms, Results accurate, Memory usage < 80% of available, No OOM errors",1B node synthetic graph,Critical,Yes,30 min,Requires large test cluster
