usecase_id,workflow_id,persona_id,name,description,preconditions,steps,expected_outcome,postconditions,acceptance_criteria,requirements_refs,priority
UC001,WF002,P002,Create Social Network Graph,"Developer creates a social network graph with users and friendship relationships","Database running, Redis client installed, Developer has credentials","1. Connect to Samyama via Redis protocol; 2. Execute CREATE query to add User nodes; 3. Execute CREATE query to add FRIENDS_WITH edges; 4. Query to retrieve friend recommendations","Graph contains User nodes and FRIENDS_WITH relationships, Queries return expected results","Graph schema created, Sample data loaded, Queries validated","Query executes in < 10ms, Correct results returned, No errors",REQ-GRAPH-001|REQ-GRAPH-002|REQ-GRAPH-003|REQ-CYPHER-003|REQ-REDIS-002,High
UC002,WF003,P005,Provision New Tenant with Resource Quotas,"Tenant admin creates isolated namespace for a new customer with 4GB memory limit","Cluster running, Admin credentials available, Customer info ready","1. Call management API to create tenant 'customer_A'; 2. Set memory quota to 4GB; 3. Set storage quota to 100GB; 4. Set max connections to 50; 5. Create tenant admin user; 6. Verify tenant isolation","Tenant 'customer_A' created with quotas, Tenant admin can authenticate, Resource quotas enforced","Tenant operational, Quotas configured, Monitoring active","Tenant isolated from others, Memory usage cannot exceed 4GB, Admin user can authenticate",REQ-TENANT-001|REQ-TENANT-002|REQ-TENANT-003|REQ-TENANT-004|REQ-TENANT-007,Critical
UC003,WF005,P003,Execute Multi-Hop Traversal on Billion-Node Graph,"Data scientist runs 3-hop friend-of-friend query on 1B node social graph","1B node graph loaded, Indices created, Cluster scaled to handle load","1. Write Cypher query: MATCH (a:Person)-[:KNOWS*1..3]->(b:Person) WHERE a.id = 123 RETURN b; 2. Execute query; 3. Measure execution time; 4. Verify result count","Query completes in < 100ms, Results accurate, Memory usage acceptable","Query executed successfully, Results cached for reuse, Performance logged","Execution time < 100ms, Correct results returned, Memory usage < 80% of available",REQ-PERF-005|REQ-CYPHER-005|REQ-CYPHER-006|REQ-PERF-007,High
UC004,WF004,P001,Automatic Failover After Leader Node Crash,"DBA validates that cluster automatically elects new leader when current leader crashes","3-node Raft cluster running, All nodes healthy, Test writes in progress","1. Identify current leader node; 2. Forcefully kill leader process; 3. Observe leader election process; 4. Measure failover time; 5. Verify new leader elected; 6. Confirm writes resume; 7. Validate data consistency","New leader elected within 30s, Write operations resume, No data loss, All nodes eventually consistent","Cluster recovered, New leader operational, Old leader can rejoin when restarted","Failover time < 30s, No committed writes lost, New leader functional, Cluster operational with 2/3 nodes",REQ-DIST-004|REQ-AVAIL-002|REQ-AVAIL-003|REQ-DIST-006,Critical
UC005,WF006,P001,Backup and Restore Production Database,"DBA performs full backup to S3 and restores to new cluster","Production cluster healthy, S3 bucket configured, Target cluster provisioned for restore","1. Trigger backup via management API; 2. Monitor backup progress; 3. Verify backup file in S3; 4. Checksum validation; 5. Restore to target cluster; 6. Compare node/edge counts; 7. Run sample queries; 8. Validate query results match source","Backup completed successfully, Restore successful, Data integrity verified, Target cluster operational","Backup file in S3, Target cluster contains same data as source, Queries return same results","Backup completes in < 2 hours, Restore successful, Data integrity 100%, No data loss",REQ-OPS-005|REQ-OPS-007|REQ-OPS-008|REQ-PERSIST-007,Critical
UC006,WF008,P002,Optimize Slow Cypher Query with Indices,"Developer optimizes a slow pattern matching query using indices","Query identified as slow (> 100ms), Database access available, EXPLAIN privilege granted","1. Run EXPLAIN on slow query; 2. Identify full table scans; 3. Analyze missing indices on labels/properties; 4. Create index on Person.age; 5. Re-run EXPLAIN; 6. Confirm index usage; 7. Measure new execution time","Query optimized to use index, Execution time reduced from 120ms to 8ms, Query plan improved","Index created, Query performance improved, Query added to application","Execution time < 10ms after optimization, Index used in query plan, Application performance improved",REQ-CYPHER-009|REQ-OPS-003|REQ-PERF-001,High
UC007,WF001,P004,Deploy 3-Node Kubernetes Cluster,"DevOps engineer deploys HA cluster on Kubernetes using StatefulSet","Kubernetes cluster available, kubectl configured, Helm charts available, Storage provisioned","1. Install Helm chart with replication factor 3; 2. Verify pods start successfully; 3. Check persistent volume claims; 4. Verify Raft cluster formation; 5. Create load balancer service; 6. Test connectivity; 7. Load initial data; 8. Configure monitoring","3 Samyama pods running, Raft cluster formed, Load balancer operational, Monitoring active","Cluster operational, Health checks passing, External access configured, Grafana dashboard showing metrics","All pods in Running state, Raft leader elected, Service accessible via load balancer, Prometheus scraping metrics",REQ-COMPAT-003|REQ-DIST-001|REQ-DIST-006|REQ-OPS-002,High
UC008,WF009,P008,Enable TLS and RBAC for Production,"Security engineer enables encryption and access control before production launch","Cluster deployed, TLS certificates obtained, User roles defined, Audit requirements documented","1. Generate TLS certificates for nodes; 2. Configure Samyama to use TLS; 3. Restart nodes with TLS enabled; 4. Create role definitions (admin, read-write, read-only); 5. Assign users to roles; 6. Test access with different roles; 7. Enable audit logging; 8. Verify audit log entries","TLS enabled on all connections, RBAC configured, Users have appropriate permissions, Audit log capturing events","All connections encrypted, Role-based access enforced, Audit logging active, Security scan passed","All connections use TLS, Users can only perform authorized operations, Audit log contains all access events, Penetration test passed",REQ-SEC-001|REQ-SEC-002|REQ-SEC-003|REQ-SEC-005,Critical
UC009,WF010,P004,Detect and Respond to Memory Exhaustion Alert,"DevOps engineer receives alert about high memory usage and scales cluster","Prometheus/Grafana configured, Alert rules defined, On-call engineer notified, Cluster has capacity to scale","1. Receive PagerDuty alert: Memory usage > 85%; 2. Check Grafana dashboard; 3. Identify tenant consuming most memory; 4. Review tenant quotas; 5. Decide to scale cluster; 6. Add new node via management API; 7. Monitor rebalancing; 8. Verify memory usage drops below threshold; 9. Update capacity plan","Alert received, Root cause identified, Cluster scaled, Memory usage normalized, Incident documented","Memory usage < 80%, New node operational, Capacity increased, Post-mortem completed","Alert received within 2 minutes of threshold breach, Issue mitigated within 30 minutes, No service disruption, Root cause documented",REQ-OPS-001|REQ-OPS-002|REQ-AVAIL-005|REQ-MEM-004,High
UC010,WF011,P009,Run Load Test with 10K Concurrent Queries,"QA engineer validates system can handle 10,000 concurrent read queries","Test cluster deployed, Load testing tool configured (e.g., redis-benchmark), Test dataset loaded","1. Configure load test: 10K connections, 60s duration, read queries; 2. Start load test; 3. Monitor query latency (p50, p95, p99); 4. Monitor system resources (CPU, memory, network); 5. Capture metrics; 6. Analyze results; 7. Compare against SLA (< 10ms p99)","Load test completes successfully, p99 latency < 10ms, No errors, System stable under load","Performance validated, Results documented, Any issues identified for fixing","Throughput > 100K queries/sec, p99 latency < 10ms, Error rate 0%, System remains stable",REQ-PERF-002|REQ-SCALE-003|REQ-PERF-001,High
