workflow_id,persona_ids,name,description,steps,entry_criteria,exit_criteria,success_criteria,estimated_duration,frequency,requirements_refs
WF001,P001|P004,Initial Database Setup and Deployment,"Deploy a new Samyama cluster from scratch including installation, configuration, and validation","1. Download and install Samyama binaries or Docker images; 2. Configure cluster settings (memory, storage, network); 3. Start database nodes; 4. Verify cluster health; 5. Create initial admin users; 6. Configure monitoring and alerting; 7. Run smoke tests","Infrastructure provisioned, Network configured, Storage available","Cluster running with all nodes healthy, Admin access configured, Monitoring active","All nodes join cluster successfully, Health checks pass, Monitoring dashboards show green status",2-4 hours,One-time per cluster,REQ-DIST-001|REQ-COMPAT-003|REQ-OPS-009|REQ-OPS-010
WF002,P002,Application Development with Graph Queries,"Developer integrates Samyama into their application and writes graph queries","1. Install Redis client library; 2. Connect to Samyama using RESP protocol; 3. Create initial graph schema (nodes/edges); 4. Write Cypher queries for application logic; 5. Test queries in development; 6. Optimize query performance; 7. Deploy to production","Development environment setup, Samyama instance available, Application requirements defined","Application successfully queries graph data, Performance meets SLAs, Code deployed to production","Queries execute in < 10ms p99, Application tests pass, No runtime errors",1-2 weeks,Continuous during development,REQ-REDIS-001|REQ-REDIS-002|REQ-CYPHER-001|REQ-CYPHER-003|REQ-PERF-001
WF003,P005,Multi-Tenant Provisioning and Management,"Tenant admin creates and manages isolated graph database instances for customers","1. Create new tenant via management API; 2. Configure resource quotas (memory, storage, connections); 3. Set up tenant authentication; 4. Assign admin roles; 5. Configure tenant-specific monitoring; 6. Perform initial data load; 7. Validate isolation","Admin credentials available, Quota limits defined, Customer onboarding approved","Tenant operational, Data isolated, Quotas enforced, Monitoring active","Tenant can query own data only, Resource usage within quotas, No cross-tenant access",30-60 minutes,Weekly,REQ-TENANT-001|REQ-TENANT-002|REQ-TENANT-003|REQ-TENANT-004|REQ-TENANT-006|REQ-TENANT-007
WF004,P001|P004,High Availability Configuration and Failover,"Configure cluster for HA and validate automatic failover behavior","1. Deploy 3+ node Raft cluster; 2. Configure replication factor; 3. Set up load balancer; 4. Configure automatic health checks; 5. Simulate node failure; 6. Verify leader election; 7. Validate data consistency; 8. Document runbook","Multi-node cluster deployed, Network configured for replication, Test plan prepared","Cluster survives node failures, Data remains consistent, Failover time < 30s, Runbook documented","Automatic failover works, No data loss, Recovery time < 30s, All tests pass",4-6 hours,One-time setup + quarterly testing,REQ-DIST-004|REQ-DIST-005|REQ-DIST-006|REQ-AVAIL-001|REQ-AVAIL-002|REQ-AVAIL-003
WF005,P003,Large-Scale Graph Analytics Execution,"Data scientist runs complex analytics on billion-node graphs","1. Load large dataset (1B+ nodes); 2. Create necessary indices; 3. Write multi-hop traversal queries; 4. Execute pattern matching analytics; 5. Profile query performance; 6. Optimize queries based on explain plan; 7. Export results for ML pipeline; 8. Document findings","Dataset available, Cluster scaled to needed capacity, Analysis requirements defined","Analysis complete, Results validated, Findings documented, Performance acceptable","Query execution < 100ms for 3-hop, Results reproducible, Memory usage within limits, Insights actionable",2-3 days,Monthly,REQ-PERF-005|REQ-CYPHER-005|REQ-CYPHER-006|REQ-MEM-001|REQ-PERF-007
WF006,P001|P004,Backup and Disaster Recovery,"Perform regular backups and test disaster recovery procedures","1. Configure automated backup schedule; 2. Perform full backup to external storage (S3); 3. Verify backup integrity; 4. Simulate disaster (data corruption); 5. Restore from backup; 6. Validate data consistency; 7. Measure recovery time; 8. Update disaster recovery plan","Backup storage configured, Backup schedule defined, Test environment available","Backup successful, Recovery validated, RTO/RPO documented, DR plan updated","Backup completes without errors, Recovery successful, Data integrity verified, RTO < 1 hour",3-4 hours,Daily backups; Quarterly DR tests,REQ-OPS-005|REQ-OPS-006|REQ-OPS-007|REQ-OPS-008|REQ-PERSIST-007
WF007,P004,Cluster Scaling and Performance Optimization,"Scale cluster to handle increased load and optimize performance","1. Monitor current performance metrics; 2. Identify bottlenecks (CPU, memory, I/O); 3. Plan scaling strategy (vertical vs horizontal); 4. Add new nodes to cluster; 5. Rebalance data (if partitioned); 6. Tune configuration parameters; 7. Validate performance improvement; 8. Document changes","Performance degradation detected, Capacity plan approved, Additional resources available","Cluster scaled successfully, Performance targets met, Load balanced, Configuration documented","Query latency back to < 10ms p99, Throughput increased by 50%+, All nodes healthy, No data loss during scaling",4-8 hours,Quarterly or as-needed,REQ-DIST-003|REQ-SCALE-001|REQ-PERF-002|REQ-PERF-004|REQ-AVAIL-004
WF008,P002|P003,Query Development and Optimization,"Develop and optimize complex Cypher queries for production use","1. Write initial Cypher query based on requirements; 2. Test on sample data; 3. Run EXPLAIN to see query plan; 4. Identify performance issues (missing indices, etc.); 5. Create necessary indices; 6. Refactor query for optimization; 7. Benchmark performance; 8. Add query to application code; 9. Monitor in production","Requirements defined, Sample data available, Database access configured","Query meets performance SLA, Code reviewed and merged, Query in production, Monitoring in place","Query latency < 10ms p99, Results accurate, Indices used efficiently, No N+1 query issues",2-4 hours per query,Daily during active development,REQ-CYPHER-001|REQ-CYPHER-009|REQ-PERF-001|REQ-OPS-003
WF009,P008,Security Hardening and Compliance Audit,"Implement security controls and prepare for compliance audit","1. Enable TLS/SSL for all connections; 2. Configure authentication (username/password); 3. Set up role-based access control (RBAC); 4. Enable audit logging; 5. Configure encryption at rest; 6. Review security configuration against checklist; 7. Perform penetration testing; 8. Document security controls; 9. Pass compliance audit","Security requirements defined, Compliance framework selected (SOC2, HIPAA, etc.), Infrastructure ready","All security controls implemented, Audit passed, Documentation complete, Remediation items addressed","TLS enabled on all connections, RBAC configured correctly, Audit logs capture all events, Encryption verified, Audit passed",1-2 weeks,Annually for audits; Ongoing for security,REQ-SEC-001|REQ-SEC-002|REQ-SEC-003|REQ-SEC-004|REQ-SEC-005|REQ-SEC-006
WF010,P001|P004,Monitoring and Incident Response,"Monitor database health and respond to production incidents","1. Configure Prometheus metrics collection; 2. Set up Grafana dashboards; 3. Define alert thresholds; 4. Configure alerting channels (PagerDuty, Slack); 5. Monitor dashboards continuously; 6. Receive alert when threshold breached; 7. Investigate using logs and metrics; 8. Mitigate issue (scale, restart, rollback); 9. Perform post-mortem analysis; 10. Update runbooks","Monitoring tools deployed, Dashboards configured, On-call rotation established","Incident detected and resolved, Service restored, Post-mortem documented, Preventive measures implemented","Incident detected within 2 minutes, MTTR < 30 minutes, No customer data loss, Preventive measures identified",Ongoing monitoring; 1-4 hours per incident,Continuous monitoring; Incidents as-needed,REQ-OPS-001|REQ-OPS-002|REQ-AVAIL-001|REQ-AVAIL-005
